,LAY,ROL,SIT,SITtoLAY,STD
headset_vel.x,0.0,0.0309,0.0274,0.0004,0.0544
headset_vel.y,0.0,0.0686,0.0175,0.028,0.0749
headset_vel.z,0.0,0.0374,0.0173,0.0471,0.0389
headset_angularVel.x,0.0006,1.1446,0.0189,0.4367,0.4659
headset_angularVel.y,0.0011,0.576,0.0808,0.0192,0.2003
headset_angularVel.z,0.0013,1.4392,0.2207,0.014,0.1028
headset_pos.x,0.0,0.0142,0.0729,0.0004,0.0632
headset_pos.y,0.0,0.0045,0.0426,0.0552,0.1576
headset_pos.z,0.0,0.0043,0.0487,0.1108,0.091
headset_rot.x,1.9086,22501.1412,16623.1959,17733.4591,16006.3158
headset_rot.y,3785.6515,17203.0447,57.1747,19406.1953,14230.1516
headset_rot.z,26762.8247,15834.2025,15564.5728,16419.4269,21542.6958
controller_left_vel.x,0.0,0.0167,0.0102,0.0005,0.0011
controller_left_vel.y,0.0,0.0407,0.0064,0.0005,0.0003
controller_left_vel.z,0.0,0.0711,0.0026,0.0006,0.001
controller_left_angularVel.x,0.0,0.4967,0.0086,0.0276,0.3317
controller_left_angularVel.y,0.0001,0.6646,0.0241,0.0197,0.444
controller_left_angularVel.z,0.0,1.0974,0.0091,0.034,0.2939
controller_left_pos.x,0.0,0.3012,0.0078,0.0002,0.2295
controller_left_pos.y,0.0,0.0267,0.0102,0.0005,0.3883
controller_left_pos.z,0.0,1.0266,0.0034,0.0004,0.0169
controller_left_rot.x,0.1247,19178.8807,14.2069,45.9174,345.0416
controller_left_rot.y,0.1609,3288.4627,63.1866,102.4781,8447.7764
controller_left_rot.z,0.822,3231.9846,14.9609,504.9297,5326.2653
controller_right_vel.x,0.0,0.0008,0.0,0.0003,0.032
controller_right_vel.y,0.0,0.0008,0.0,0.0002,0.0189
controller_right_vel.z,0.0,0.0008,0.0,0.0007,0.0965
controller_right_angularVel.x,0.0006,0.6183,0.0013,0.0027,0.3077
controller_right_angularVel.y,0.0001,1.2405,0.0102,0.0187,0.2025
controller_right_angularVel.z,0.0001,0.8713,0.0195,0.0158,0.3274
controller_right_pos.x,0.0,0.0046,0.0,0.0001,0.0894
controller_right_pos.y,0.0,0.0115,0.0,0.0,0.1312
controller_right_pos.z,0.0,0.0166,0.0,0.0006,0.2275
controller_right_rot.x,0.0289,3214.9104,2.9944,0.4115,91.1786
controller_right_rot.y,0.0169,16865.0869,40.4968,8554.3871,12605.8467
controller_right_rot.z,0.0377,14392.0221,27236.6224,23.3093,5428.1138
